"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The User Acceptance of Service Desk Application System Description","M. Q. Huda; R. H. Kusumaningtyas; B. M. Caroline","Department of Information System, State Islamic University (UIN) Syarif Hidayatullah, Jakarta, Indonesia; Department of Information System, State Islamic University (UIN) Syarif Hidayatullah, Jakarta, Indonesia; Department of Information System, State Islamic University (UIN) Syarif Hidayatullah, Jakarta, Indonesia",2018 6th International Conference on Cyber and IT Service Management (CITSM),"28 Mar 2019","2018","","","1","5","User acceptance is an important factor in the successful implementation of the system and applications in the context of higher education institutions. Since UIN Syarif Hidayatullah Jakarta currently has applied Service Desk Application System (SDAS) as a single point of contact to developer team where the user encounters the problem related to all IT services provided by the institution. UIN Syarif Hidayatullah Jakarta has decided to implement service desk application system (SDAS) that managed by The Centre of Information Technology (PUSTIPANDA). Since this system already implemented, many SDAS users did not take care to employ the application system. Many of users did not know the implementation of SDAS accordingly. Moreover, the negative perceived of the users have established right now, hence they prefer and more tend to use the manual system actually. This study attempt to describe the perception of user acceptance of SDAS using the Unified Theory of Acceptance and Use of Technology (UTAUT) model. Using the survey techniques, the study provides the description of the implementation of SDAS in the university.","","978-1-5386-5434-7","10.1109/CITSM.2018.8674283","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8674283","User Acceptance;Service Desk Aplication;Help Desk;UTAUT","Education;Information technology;Adaptation models;Information systems;Organizations;Sociology;Statistics","","","","21","IEEE","28 Mar 2019","7-9 Aug. 2018","7-9 Aug. 2018","IEEE","IEEE Conferences"
"A system dynamics model for managing service desk capacity","G. Fenner; A. Lima; N. de Souza; A. Moura; R. Andrade","Federal University of Ceará (UFC), Fortaleza, Brazil; Federal University of Ceará (UFC), Fortaleza, Brazil; Federal University of Ceará (UFC), Fortaleza, Brazil; Federal University of Campina Grande (UFCG), Campina Grande, Brazil; Federal University of Ceará (UFC), Fortaleza, Brazil",2015 IFIP/IEEE International Symposium on Integrated Network Management (IM),"2 Jul 2015","2015","","","1424","1427","Information technology (IT) services have become more complex and diversified. The service desk establishes a single channel of communication between the internal IT provider and its users, through which incidents and problems are analyzed, escalated and resolved. Managers need to analyze different operating scenarios regarding service desk capacity to make effective decisions about what should be improved to meet the business demands. This paper presents a system dynamics model for evaluating an organization's service desk's service capacity. The model allows the performance simulation of scenarios, estimating the service capacity. Preliminary results are promising and seem to contribute to the improvement of capacity management processes.","1573-0077","978-1-4799-8241-7","10.1109/INM.2015.7140506","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7140506","IT service management;Service desk;System dynamics","Companies;Capability maturity model;Computational modeling;Conferences;Mathematical model","","3","","17","IEEE","2 Jul 2015","11-15 May 2015","11-15 May 2015","IEEE","IEEE Conferences"
"Probabilistic text analytics framework for information technology service desk tickets","E. -E. Jan; K. -Y. Chen; T. Idé",IBM T.J. Watson Research Center; IBM T.J. Watson Research Center; IBM T.J. Watson Research Center,2015 IFIP/IEEE International Symposium on Integrated Network Management (IM),"2 Jul 2015","2015","","","870","873","Ticket annotation and search has become an essential research subject for the successful delivery of IT operational analytics. Millions of tickets are created yearly to address business users' IT related problems. In IT service desk management, it is critical to first capture the pain points for a group of tickets to determine root cause; secondly, to obtain the respective distributions in order to layout the priority of addressing these pain points. An advanced ticket analytics system utilizes a combination of topic modeling, clustering and Information Retrieval (IR) technologies to address the above issues and the corresponding architecture which integrates of these features will allow for a wider distribution of this technology and progress to a significant financial benefit for the system owner. Topic modeling has been used to extract topics from given documents; in general, each topic is represented by a unigram language model. However, it is not clear how to interpret the results in an easily readable/understandable way until now. Due to the inefficiency to render top concepts using existing techniques, in this paper, we propose a probabilistic framework, which consists of language modeling (especially the topic models), Part-Of-Speech (POS) tags, query expansion, retrieval modeling and so on for the practical challenge. The rigorously empirical experiments demonstrate the consistent and utility performance of the proposed method on real datasets.","1573-0077","978-1-4799-8241-7","10.1109/INM.2015.7140397","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7140397","Analytics;ITIL;IT operations;Ticket;IT service;topic modeling;information retrieval","Probabilistic logic;Information retrieval;Indexes;Pain;Mobile communication;Business;Semantics","","22","","14","IEEE","2 Jul 2015","11-15 May 2015","11-15 May 2015","IEEE","IEEE Conferences"
"IT Service Desk Model Literature Review: Benefits and Challenges","A. D. Firmansyah; A. P. Subriadi","Department of Information Systems, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Information Systems, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia",2022 International Seminar on Application for Technology of Information and Communication (iSemantic),"20 Oct 2022","2022","","","172","177","IT service desk is an important element in IT service management. As a single point of contact (SPOC), IT service desk receives incident and fulfill the requests. Many governments are still having difficulties in various areas, particularly during implementation. The management of incident reports and service requests in the government is only submitted directly to everyone, giving rise to multiple points of contact. Meanwhile, a standard or framework cannot be directly adopted but requires adjustments to the characteristics of the organization. Through this research, the challenges, and benefits of implementing IT service desk were identified. Literature review using SLR was carried out. A total of 40 articles from four well-known databases were selected for review. The results show that some of the benefits obtained from implementing the IT Service desk include significant improvement in process metrics, reduction in IT costing, better documentation, increased employee and customer satisfaction, reduction in staff, improvement of IT service quality, and internal communication efficiency. Meanwhile, the challenges include large investment required, organizational resistance, difficult planning to implement the existing framework, complexity of the framework, lack of internal management support, difficulty in measuring benefits, lack of knowledge/skills, process evaluation (expensive and time consuming), limited of resources, and gradual cost reduction.","","978-1-6654-8839-6","10.1109/iSemantic55962.2022.9920439","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9920439","benefits;challenges;IT service desk;SLR","Resistance;Costs;Standards organizations;Government;Customer satisfaction;Documentation;Time measurement","","","","40","IEEE","20 Oct 2022","17-18 Sept. 2022","17-18 Sept. 2022","IEEE","IEEE Conferences"
"Toward a Gamification Model to Improve IT Service Management Quality on Service Desk","F. S. d. Conceição; A. P. d. Silva; A. Q. d. O. Filho; R. Cabral Silva Filho","Computing Institute, Federal University of Alagoas, Maceió, Brazil; Computing Institute, Federal University of Alagoas, Maceió, Brazil; Psychol. Dept., Universidade Sao Francisco, Braganca Paulista, SP, BR; Inf. Technol. Center, Universidade Federal de Alagoas, Maceio, Alagoas, BR",2014 9th International Conference on the Quality of Information and Communications Technology,"15 Dec 2014","2014","","","255","260","Among the different kinds of incident processing centers, the service desk has highlighted with the increasing number of its adopters around the world. Nonetheless, even though it has a series of desirable features and resources, a service desk needs several procedures to survive, without which it can severely suffer with inadequate or inexistent IT service management. In order to overcome this need, the framework of best IT practices, mostly known as ITIL, has been widely implemented on such scenarios. However, its adherence by service desk operators, has not always been as friendly as it should. The main reason for this can be made evident when considering how hard is to comply with so many recommendations laid out on such framework. Additionally, the technical staff attention and worry on complying with that framework is so great that incident treatment quality can be impaired. It is exactly on that challenge, where the persuasive technique named gamification arises here as a proposal to turn hard, tense or tedious tasks, that are commonly performed on this way on service desks, into more interesting and engaging activities in a daily basis. Through game design and elements, gamification can improve the service desk operators' motivation and engaging, by making them more involved in their job and consequentely optimizing the use and adherence of ITIL recommended IT best practices. In this scenario, since the more IT best practices are adequately followed and the more incident treatment quality increases, obviously the more IT service management quality would be improved.","","978-1-4799-6133-7","10.1109/QUATIC.2014.41","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6984129","gamification;ITIL;service desk","Games;Best practices;Context;Professional activities;Cultural differences;Educational institutions;Organizations","","8","","15","IEEE","15 Dec 2014","23-26 Sept. 2014","23-26 Sept. 2014","IEEE","IEEE Conferences"
"Ideal help desk/service desk in e-government and service quality: A literature review","H. Suryotrisongko; M. D. Q. Mucharomah","Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia",2017 11th International Conference on Information & Communication Technology and System (ICTS),"22 Jan 2018","2017","","","203","208","Help desk and service desk are critical in this era regarding how much people need a place to ask to and consult to. People demand a transparent governance and help desk service desk is one way to fulfill that demand. But, there's ambiguity in what is the ideal help desk, because the condition in every country is different, they have their own characteristic. There are some countries that has made services for their citizens full on electronic-based, while some still retain the conventional help desk service. There are two kinds of e-government which we have known, developed countries and developing countries. And they have their own design of what help desk they should use, but some are not very effective and efficient as it was expected to be. This article discussed about what is the ideal help desk/service desk in e-government and the service quality as the indicator to know whether that help desk has been used on its maximum advantages or not.","2338-185X","978-1-5386-2827-0","10.1109/ICTS.2017.8265671","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8265671","E-Government;Service Desk;Help Desk;Service Quality","Information and communication technology;Information management;Delays;Electronic mail;Government","","2","","20","IEEE","22 Jan 2018","31-31 Oct. 2017","31-31 Oct. 2017","IEEE","IEEE Conferences"
"Intelligent Analysis of Technical Support Requests in Service Desk Ticketing Systems","A. A. Gorbunova; A. S. Trunov; V. I. Voronov","Moscow Technical University of Communications and Informatics, Moscow, Russia; Moscow Technical University of Communications and Informatics, Moscow, Russia; Moscow Technical University of Communications and Informatics, Moscow, Russia",2020 International Conference on Engineering Management of Communication and Technology (EMCTECH),"30 Nov 2020","2020","","","1","6","Natural language processing methods are actively being used in systems that interact with people. These systems include voice assistants, spam filters, Service Desk ticket processing systems and many others. This article studies the problem of intelligent automatization of request processing. Requests are coming from users and describe a problem in wireless network equipment. The subsystem described in the article is integrated via specifically developed API to the Atlassian Jira technical support system to access user requests. Requests in technical support system contain information about a problem in the wireless network that the user encountered. The main goal of the subsystem is to analyze the input message, which is written in natural language. Methods of intelligent natural language text processing extract information about a network problem that can help locate a specific device and determine the cause of the problem, which can then be fixed by standard actions. A word embedding approach called word2vec is used for text analysis. The article describes the work process of convolutional neural networks and their integration with natural language processing methods for obtaining needed results, key modules that make up the subsystem, in particular, the message processing subsystem and the actualizer system and the relationship between them. Examples of input message text analysis and results obtained by the subsystem are shown.","","978-1-6654-0448-8","10.1109/EMCTECH49634.2020.9261539","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9261539","Natural language processing;convolutional neural network;word embedding;word2vec;Jira API;classification","Natural language processing;Kernel;Dictionaries;Task analysis;Semantics;Convolutional neural networks;Convolutional codes","","5","","24","IEEE","30 Nov 2020","20-22 Oct. 2020","20-22 Oct. 2020","IEEE","IEEE Conferences"
"Information-Based interactive services and support system","M. Amanullah; A. M. Zeki; A. Abubakar","Kulliyyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Kulliyyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Kulliyyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur, Malaysia","2017 IEEE Conference on Systems, Process and Control (ICSPC)","12 Mar 2018","2017","","","77","82","The fact that information-based interaction designed requires user involvement, Service Desk System (SDS) is necessary for collecting, tracking and processing requests for IT service support. The system can be dynamic, where many approaches can be used depending on the objective of the tasks at hand. Currently, Kulliyyah of Information and Communication Technology (KICT), International Islamic University Malaysia (IIUM) SDS do not cover a lot of evolving user's tasks. As a result, the main aim of this study is to propose interactive SDS for students and staffs at KICT, IIUM. The architectural framework of the system has been formulated to include all the necessary requirements that might have arisen over time. There are some drawbacks in the process of the current system which affects the whole management process of the organization. With the aid of the framework, a prototype has been implemented. This prototype is established using the Hypertext Markup Language (HTML), PHP with the support of Cascading Style Sheets (CSS3), Bootstrap and JavaScript along with MySQL as the database. The developed system is an online (web-based) system which allows users to request information in order for the administrator to respond promptly, which shows the efficiency and reliability of the system.","","978-1-5386-0386-4","10.1109/SPC.2017.8313025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8313025","users request;service desk;administrative response;online tasks","Databases;Software;Process control;Task analysis;Conferences;Control systems;Spirals","","","","18","IEEE","12 Mar 2018","15-17 Dec. 2017","15-17 Dec. 2017","IEEE","IEEE Conferences"
"An efficient NSKDP authentication method to secure smart grid","M. Tavasoli; S. Alishahi; M. Zabihi; H. Khorashadizadeh; A. H. Mohajerzadeh","Ferdowsi University of Mashhad, Mashhad, Iran; Mashhad Electric Energy Distribution Co., Mashhad, Iran; Mashhad Electric Energy Distribution Co., Mashhad, Iran; Service Desk Analyst, TCS, Hungry; Ferdowsi University of Mashhad, Mashhad, Iran",2017 IEEE International Conference on Smart Energy Grid Engineering (SEGE),"2 Oct 2017","2017","","","276","280","Since the Information Networks are added to the current electricity networks, the security and privacy of individuals is challenged. This combination of technologies creates vulnerabilities in the context of smart grid power which disrupt the consumer energy supply. Methods based on encryption are against the countermeasures attacks that have targeted the integrity and confidentiality factors. Although the cryptography strategies are used in Smart Grid, key management which is different in size from tens to millions of keys (for meters), is considered as the critical processes. The Key mismanagement causes to reveal the secret keys for attacker, a symmetric key distribution method is recently suggested by [7] which is based on a symmetric key distribution, this strategy is very suitable for smart electric meters. The problem with this method is its vulnerability to impersonating respondents attack. The proposed approach to solve this problem is to send the both side identifiers in encrypted form based on hash functions and a random value, the proposed solution is appropriate for devices such as meters that have very little computing power.","","978-1-5386-1776-2","10.1109/SEGE.2017.8052812","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8052812","vulnerability;cyber security;cryptographic protocols;smart meters;smart grid","Smart grids;Encryption;Communication networks;Servers;Meters","","3","","8","IEEE","2 Oct 2017","14-17 Aug. 2017","14-17 Aug. 2017","IEEE","IEEE Conferences"
"Toll Service Desk: An Improved Concept of Telephone Toll Traffic Control","D. Halbedel","North Electric Company, Galion, OH, USA",IEEE Transactions on Communication Technology,"6 Jan 2003","1969","17","6","606","615","A new toll service desk (TSD) system has been developed and successfully introduced, which greatly reduces the human involvement in the processing of operator-assisted telephone toll calls. This combination of an advanced toll recording system, a modem pushbutton-operated console, and a common control crossbar switching system has automated a major portion of the traffic room functions. The design concept and features of the TSD system are discussed.","2162-2175","","10.1109/TCOM.1969.1090151","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1090151","","Telephony;Traffic control;Communications technology;Humans;Control systems;Switching systems;Registers;Switches;Communication switching;Modems","","","","","IEEE","6 Jan 2003","December 1969","","IEEE","IEEE Journals"
